Gene Symbol,BXD1,BXD11,BXD12,BXD13,BXD14,BXD15,BXD16,BXD19,BXD2,BXD21,BXD23,BXD24,BXD28,BXD29,BXD31,BXD32,BXD33,BXD34,BXD36,BXD38,BXD39,BXD40,BXD42,BXD43,BXD44,BXD45,BXD48,BXD5,BXD51,BXD6,BXD60,BXD62,BXD69,BXD73,BXD77,BXD8,BXD85,BXD86,BXD9,BXD92
Slco1a4,1.278,0.919,2.093,1.4405000000000001,1.3755,1.756,1.427,1.5675,1.053,0.6445,1.748,0.04,1.5114999999999998,1.3655,2.4575,0.8355,3.0495,2.5475,1.3969999999999998,0.955,1.616,1.6985000000000001,1.546,1.7425,1.578,1.4395,1.642,1.0825,1.403,1.6640000000000001,1.6900000000000002,2.2405,1.8,2.6295,1.2069999999999999,0.8180000000000001,2.118,1.5859999999999999,1.4645,2.2195
Spata3,2.0175,2.787,1.3719999999999999,2.308,1.044,1.1115,1.467,1.631,1.468,1.759,1.213,1.883,1.3345,1.6635,1.3330000000000002,1.7049999999999998,1.3795000000000002,1.2575,1.6230000000000002,1.7945,1.125,1.492,1.7565,1.2959999999999998,1.4164999999999999,1.3344999999999998,1.0675,0.8295,0.8599999999999999,1.4380000000000002,1.3285,0.42200000000000004,0.9789999999999999,0.29450000000000004,1.6925000000000001,2.242,1.2035,1.3625,1.468,1.2565000000000002
Srebf1,1.7785,1.154,2.1235,2.0435,1.042,1.847,1.624,2.2265,1.782,1.6535,1.5775000000000001,1.0835,1.55,1.6005,1.6400000000000001,1.931,1.7685,2.1115,2.2605,2.1895000000000002,1.7325,2.3625,2.16,2.231,2.2560000000000002,2.0345,1.6505,1.7189999999999999,1.837,1.92,2.2795,2.3335,1.8975,2.4905,2.7055,2.051,2.032,2.015,1.0125000000000002,3.2175000000000002
Sstr5,1.7275,1.596,1.6865,1.646,2.635,1.7725,2.3795,2.4835000000000003,2.0715,1.88,2.7155,2.005,1.9235,1.5899999999999999,1.6415,2.105,2.0965,1.749,2.4415,1.56,2.0275,2.019,1.948,1.564,2.167,1.8165,1.978,1.9335,2.239,1.896,1.9665,2.096,2.5065,2.5745,1.7309999999999999,1.899,2.4299999999999997,2.273,2.141,2.341
Stac,2.605,2.074,3.2615,2.677,2.886,2.5934999999999997,2.7775,2.7504999999999997,2.4895,2.1915,3.1265,2.5309999999999997,2.9749999999999996,2.3815,3.1895,2.7475,3.2485,3.207,2.482,2.1660000000000004,2.6085000000000003,2.864,2.357,2.7175000000000002,2.9684999999999997,2.753,2.864,2.997,2.867,2.75,2.9925,3.291,2.8155,3.676,2.7155,2.5020000000000002,3.1525,2.9615,3.1014999999999997,2.9995000000000003
Stc1,2.3085,1.876,2.031,1.559,2.597,2.4115,2.8289999999999997,3.229,3.1365,2.011,2.827,2.301,1.9055,2.2865,2.372,2.196,3.383,2.8975,2.255,2.699,2.8049999999999997,2.667,2.231,1.9329999999999998,2.551,2.6075,2.5425,2.527,3.141,2.5004999999999997,2.622,2.6109999999999998,2.9125,3.432,2.3565,2.168,3.2729999999999997,3.036,2.2765,3.1265
Steap4,2.3064999999999998,1.731,1.803,2.2295,3.9080000000000004,2.141,2.2625,2.9035,2.782,3.1885000000000003,3.6785,4.7485,3.641,2.218,2.6799999999999997,2.6005000000000003,2.37,2.5255,2.569,1.895,2.4185,2.4135,2.7435,2.419,2.691,1.97,2.334,3.1935000000000002,2.6465,2.4085,2.3840000000000003,2.7720000000000002,2.5484999999999998,2.7085,2.225,1.9665,2.976,2.6825,3.9844999999999997,2.31
Stk35,0.318,0.645,0.505,0.589,0.573,0.406,0.4435,0.3695,0.4465,0.6785,0.502,0.5065000000000001,0.4265,0.3255,0.624,0.47650000000000003,0.2815,0.694,0.502,0.4575,0.35950000000000004,0.4205,3.1745,0.6025,0.4105,0.3055,0.2685,0.519,0.44599999999999995,0.3695,0.514,0.6515,0.406,0.48650000000000004,0.35450000000000004,0.391,0.4515,0.34249999999999997,0.4955,0.4265
Sult1a1,2.9895,2.761,3.2394999999999996,3.1875,2.8884999999999996,2.596,2.4165,2.5805,2.2575,2.5355,2.785,2.8200000000000003,2.8890000000000002,2.604,3.1895,2.615,3.7975000000000003,2.8484999999999996,2.5965,2.6105,2.737,2.9735,2.7615,2.8449999999999998,3.2755,3.1254999999999997,2.493,3.5595,2.899,2.8015,3.2439999999999998,3.1544999999999996,2.6479999999999997,3.406,2.5705,2.6205,2.6855,2.9314999999999998,3.223,2.658
Sult1c1,2.0100000000000002,2.509,1.8904999999999998,2.101,2.7045000000000003,2.2115,2.3255,2.8209999999999997,1.8515000000000001,2.132,2.3689999999999998,2.088,1.7385,2.262,2.4575,2.0645,2.422,1.4835,2.2595,1.9264999999999999,2.439,2.618,2.7085,2.2715,2.2555,2.324,2.5069999999999997,2.569,2.6955,1.9575,2.1415,2.8345000000000002,2.87,2.7195,2.028,2.0755,2.5645,2.4825,2.3120000000000003,2.3405
