Gene Symbol,BXD1,BXD100,BXD101,BXD102,BXD103,BXD11,BXD12,BXD14,BXD24,BXD27,BXD29,BXD31,BXD32,BXD34,BXD39,BXD40,BXD42,BXD43,BXD44,BXD45,BXD48,BXD49,BXD50,BXD56,BXD60,BXD62,BXD63,BXD65,BXD68,BXD69,BXD70,BXD71,BXD73,BXD75,BXD79,BXD80,BXD83,BXD84,BXD85,BXD87,BXD89,BXD90,BXD95,BXD97,BXD99
Snora73b,11.687000000000001,11.962,10.975999999999999,11.475,11.275,11.381,11.369,11.155,11.951,11.3105,11.397,11.2575,11.653500000000001,11.530999999999999,11.414,11.6115,11.048,11.466,11.038,11.122,11.589,11.112,10.954,11.146999999999998,11.3525,11.9495,11.381,11.2675,10.879000000000001,11.3185,10.8475,10.948,11.3615,11.3845,10.865,11.788499999999999,11.124,12.561,10.543,10.9,11.203,11.336500000000001,10.804,11.1255,11.2355
Snora74a,9.246,9.669,8.7705,9.841,10.0,9.2835,8.964,9.132,9.445,9.118500000000001,8.9095,9.0205,9.099,9.629,8.925,9.3095,9.119,9.694,9.813,9.718,9.2655,10.16,9.212,9.321,9.801,9.6205,9.513,9.64,8.862,9.685500000000001,8.8415,9.4845,9.693999999999999,9.653,9.055,9.5505,9.072,9.998,8.973500000000001,9.379000000000001,9.335,9.1395,9.3175,9.438500000000001,9.654499999999999
Snord14d,9.88575,9.7835,10.185749999999999,9.504000000000001,9.82625,9.8345,9.494,9.285499999999999,9.3095,9.95725,9.54525,9.8055,9.54725,10.13325,9.724499999999999,9.26175,9.983,9.252500000000001,10.203,9.870000000000001,9.8745,10.3235,9.4085,9.87625,9.1675,9.39925,9.934000000000001,9.89475,10.30625,9.203,10.1025,9.75575,9.38,9.35825,9.572,9.20525,9.858,9.114,9.98675,10.113,9.75175,9.64625,10.2475,9.77625,10.1965
Snord47,9.622499999999999,10.145499999999998,10.1265,10.382,10.36,10.02,10.149,9.726,9.957,10.0835,10.094000000000001,9.711,9.2055,10.05,9.623,8.9435,9.943,10.384,10.147,10.0015,10.1985,10.131,9.774000000000001,9.905,9.9255,9.413,9.823,9.997,9.8115,10.067499999999999,10.2375,9.9255,10.407,9.833,9.91,10.286999999999999,9.5985,9.988,9.76,10.533999999999999,10.2005,9.7995,10.097999999999999,10.0605,10.307
Snord49b,11.415500000000002,12.111,11.969999999999999,12.352,12.211,12.026499999999999,12.008,11.796,11.874,12.161999999999999,11.8065,11.4545,11.317499999999999,11.953,11.298,11.265,11.642,12.43,11.879999999999999,11.8265,12.1265,12.185,11.370000000000001,11.651,11.792000000000002,11.4345,11.858,11.9125,11.801,12.079999999999998,11.8915,11.954,12.343499999999999,11.775,11.808,12.455,11.652999999999999,12.22,11.2325,11.9735,11.912500000000001,11.673,11.8215,12.1145,12.192499999999999
Snord53,9.249,9.558,8.837499999999999,8.677,11.3885,11.6015,8.879,11.905,11.573,11.3355,8.9805,11.0595,11.4835,11.416,8.776,11.2725,11.524,8.839,8.739,11.868500000000001,8.973500000000001,8.975,11.280000000000001,8.9295,8.585,11.5075,8.885,11.6095,8.8255,8.5845,11.696000000000002,9.1045,8.7865,8.849499999999999,11.387,11.357,11.142499999999998,12.111,10.997,11.913499999999999,11.508500000000002,11.506,9.008,11.755500000000001,9.025
Snord57,11.902999999999999,11.8995,12.376000000000001,12.455,12.6405,12.636,12.545,12.677,11.572,12.793,12.399000000000001,12.8675,10.9775,12.190999999999999,12.529,11.712,12.902,12.05,12.709,12.554,12.571000000000002,12.58,12.587,12.526,12.2095,11.0025,12.873,12.6235,12.4205,12.286999999999999,12.9335,12.832,12.341999999999999,12.545000000000002,12.379,12.1425,12.010000000000002,10.971,12.027,12.8045,12.5815,11.961,12.7835,12.7065,12.843
Snord82,10.938500000000001,11.434999999999999,11.6785,11.807,11.840499999999999,11.657,11.768,11.529,10.481,11.942,11.487,11.657499999999999,10.431000000000001,11.303,11.607,10.5525,11.967,11.46,11.756499999999999,11.661999999999999,11.602,11.717,11.7,11.5475,11.361999999999998,10.886,11.767,11.6585,11.6145,11.2775,12.000499999999999,11.8445,11.6935,11.664,11.543,11.479,11.121500000000001,11.448,11.708,12.14,11.8095,11.228,11.514,11.717,11.8125
Snrpe,9.7395,9.904,9.7745,10.201,9.832,10.125,9.734,9.281,10.562,10.245999999999999,10.3295,9.7745,10.5205,10.471499999999999,10.158,9.6985,9.84,10.029,10.2,9.584,10.307500000000001,9.626,9.6705,9.7905,9.865,10.030999999999999,10.376,10.392,9.690999999999999,9.7785,10.285499999999999,9.524000000000001,9.693,9.6195,10.202,9.902000000000001,10.211,10.133,10.2825,10.198,9.7155,9.8975,9.725,10.259,10.166
Stab2,7.667,7.5805,7.4895,7.626,7.657,10.1745,7.576,9.763,10.239,10.048,7.563000000000001,7.558,9.665500000000002,7.525499999999999,10.474,7.715999999999999,7.422,7.47,7.577500000000001,9.5015,7.4825,7.743,7.641,7.45,7.5405,7.448499999999999,10.171,7.5184999999999995,10.225999999999999,8.7175,7.5440000000000005,7.6325,7.682,7.723,7.645,7.65,7.606,7.551,7.585,7.519500000000001,7.527,7.5295000000000005,7.582000000000001,7.651,7.3645
